course_url,mata_kuliah,kelas,program_studi,semester,lectures_count,description,cpmk,lecturer_1,lecturer_2,total_activities,pertemuan_1,date_1,pertemuan_2,date_2,pertemuan_3,date_3,pertemuan_4,date_4,pertemuan_5,date_5,pertemuan_6,date_6,pertemuan_7,date_7,pertemuan_8,date_8,pertemuan_9,date_9,pertemuan_10,date_10,pertemuan_11,date_11,pertemuan_12,date_12,pertemuan_13,date_13,pertemuan_14,date_14,pertemuan_15,date_15,pertemuan_16,date_16
https://sindig.unesa.ac.id/course/3/3078/proyek-sains-data,Proyek Sains Data,2022A,S1 Sains Data,7,2,"Mata kuliah Proyek Sains Data merupakan mata kuliah inti yang dirancang untuk memberikan pengalaman langsung dalam menerapkan beberapa pengetahuan dan keterampilan sains data yang telah dipelajari sebelumnya. Mahasiswa akan bekerja dalam kelompok untuk menyelesaikan proyek sains data yang komprehensif, mulai dari perumusan masalah, pengumpulan dan pembersihan data, analisis eksploratori, pemodelan statistik atau machine learning, hingga interpretasi hasil dan penyajian visual. Tujuan utama mata kuliah ini adalah mengembangkan kemampuan mahasiswa dalam menyelesaikan masalah nyata menggunakan pendekatan sains data, serta melatih keterampilan komunikasi teknis dan kolaborasi tim.",Menerapkan metodologi sains data dalam menyelesaikan masalah nyata dengan pendekatan yang inovatif dan adaptif (C3) | Menganalisis kebutuhan pengguna dan data untuk merancang solusi sains data yang tepat (C4) | Mengevaluasi kualitas model dan hasil analisis data berdasarkan kriteria performa dan etika (C5) | Menciptakan solusi komprehensif berbasis sains data melalui integrasi teknik dan tools yang relevan (C6) | Menerapkan prinsip kolaborasi dan manajemen tim dalam pelaksanaan proyek sains data (C3) | Menganalisis kompleksitas masalah computing dan mengidentifikasi pendekatan solusi interdisiplin (C4) | Mengevaluasi dampak dan keberlanjutan solusi sains data dari aspek teknis dan humaniora (C5) | Menciptakan dokumentasi dan presentasi yang efektif untuk mengkomunikasikan hasil proyek (C6) | Menerapkan beberapa pengatahuan dalam bidang Sains Data serta mengelaborasikannya untuk memecahkan suatu masalah secara prosedural,Hasanuddin Al-Habib,Ibnu Febry Kurniawan,16,Pengantar proyek sains data (capstone project) Date 4 September 2025,4 September 2025,Pembagian kelompok proyek sains data (capstone project) Date 11 September 2025,11 September 2025,Penentuan permasalahan proyek sains data beserta matakuliah terkait penyelesaian masalah dalam kelompok yang sudah dibentuk Date 18 September 2025,18 September 2025,Perencanaan Proyek Sains Data Date 25 September 2025,25 September 2025,Evaluasi Perencanaan Projek Sains Data Date 2 Oktober 2025,2 Oktober 2025,Pelaksanaan Proyek Sains Data Date 9 Oktober 2025,9 Oktober 2025,Pelaksanaan Proyek Sains Data Date 16 Oktober 2025,16 Oktober 2025,Penyusunan monitoring dan evaluasi proyek Date 23 Oktober 2025,23 Oktober 2025,Presentasi-2 Pelaksanaan Proyek Sains Data Date 30 Oktober 2025,30 Oktober 2025,Melanjutkan proyek dan persiapan penyusunan laporan Date 6 November 2025,6 November 2025,Melanjutkan proyek dan persiapan penyusunan laporan Date 13 November 2025,13 November 2025,Penyusunan Laporan Proyek Sains Data Date 20 November 2025,20 November 2025,Evaluasi Penyusunan Laporan Projek Sains Data Date 27 November 2025,27 November 2025,Melanjutkan laporan akhir dengan mempertimbangkan evaluasi dampak dan keberlanjutan solusi sains data dari dosen pengampu proyek Date 4 Desember 2025,4 Desember 2025,Melanjutkan laporan akhir dengan mempertimbangkan evaluasi dampak dan keberlanjutan solusi sains data dari dosen pengampu proyek Date 11 Desember 2025,11 Desember 2025,Ujian Akhir Semester Date 18 Desember 2025,18 Desember 2025
https://sindig.unesa.ac.id/course/3/3028/proyek-sains-data,Proyek Sains Data,2022D,S1 Sains Data,7,2,"Mata kuliah Proyek Sains Data merupakan mata kuliah inti yang dirancang untuk memberikan pengalaman langsung dalam menerapkan beberapa pengetahuan dan keterampilan sains data yang telah dipelajari sebelumnya. Mahasiswa akan bekerja dalam kelompok untuk menyelesaikan proyek sains data yang komprehensif, mulai dari perumusan masalah, pengumpulan dan pembersihan data, analisis eksploratori, pemodelan statistik atau machine learning, hingga interpretasi hasil dan penyajian visual. Tujuan utama mata kuliah ini adalah mengembangkan kemampuan mahasiswa dalam menyelesaikan masalah nyata menggunakan pendekatan sains data, serta melatih keterampilan komunikasi teknis dan kolaborasi tim.",Menerapkan metodologi sains data dalam menyelesaikan masalah nyata dengan pendekatan yang inovatif dan adaptif (C3) | Menganalisis kebutuhan pengguna dan data untuk merancang solusi sains data yang tepat (C4) | Mengevaluasi kualitas model dan hasil analisis data berdasarkan kriteria performa dan etika (C5) | Menciptakan solusi komprehensif berbasis sains data melalui integrasi teknik dan tools yang relevan (C6) | Menerapkan prinsip kolaborasi dan manajemen tim dalam pelaksanaan proyek sains data (C3) | Menganalisis kompleksitas masalah computing dan mengidentifikasi pendekatan solusi interdisiplin (C4) | Mengevaluasi dampak dan keberlanjutan solusi sains data dari aspek teknis dan humaniora (C5) | Menciptakan dokumentasi dan presentasi yang efektif untuk mengkomunikasikan hasil proyek (C6) | Menerapkan beberapa pengatahuan dalam bidang Sains Data serta mengelaborasikannya untuk memecahkan suatu masalah secara prosedural,Riskyana Dewi Intan Puspitasari,Elly Matul Imah,16,Pengantar proyek sains data (capstone project) Date 4 September 2025,4 September 2025,Pembagian kelompok proyek sains data (capstone project) Date 11 September 2025,11 September 2025,Penentuan permasalahan proyek sains data beserta matakuliah terkait penyelesaian masalah dalam kelompok yang sudah dibentuk Date 18 September 2025,18 September 2025,Perencanaan Proyek Sains Data Date 25 September 2025,25 September 2025,Evaluasi Perencanaan Projek Sains Data Date 2 Oktober 2025,2 Oktober 2025,Pelaksanaan Proyek Sains Data Date 9 Oktober 2025,9 Oktober 2025,Pelaksanaan Proyek Sains Data Date 16 Oktober 2025,16 Oktober 2025,Penyusunan monitoring dan evaluasi proyek Date 23 Oktober 2025,23 Oktober 2025,Presentasi-2 Pelaksanaan Proyek Sains Data Date 30 Oktober 2025,30 Oktober 2025,Melanjutkan proyek dan persiapan penyusunan laporan Date 6 November 2025,6 November 2025,Melanjutkan proyek dan persiapan penyusunan laporan Date 13 November 2025,13 November 2025,Penyusunan Laporan Proyek Sains Data Date 20 November 2025,20 November 2025,Evaluasi Penyusunan Laporan Projek Sains Data Date 27 November 2025,27 November 2025,Melanjutkan laporan akhir dengan mempertimbangkan evaluasi dampak dan keberlanjutan solusi sains data dari dosen pengampu proyek Date 4 Desember 2025,4 Desember 2025,Melanjutkan laporan akhir dengan mempertimbangkan evaluasi dampak dan keberlanjutan solusi sains data dari dosen pengampu proyek Date 11 Desember 2025,11 Desember 2025,Ujian Akhir Semester Date 18 Desember 2025,18 Desember 2025
https://sindig.unesa.ac.id/course/3/3212/proyek-sains-data,Proyek Sains Data,2022C,S1 Sains Data,7,2,"Mata kuliah Proyek Sains Data merupakan mata kuliah inti yang dirancang untuk memberikan pengalaman langsung dalam menerapkan beberapa pengetahuan dan keterampilan sains data yang telah dipelajari sebelumnya. Mahasiswa akan bekerja dalam kelompok untuk menyelesaikan proyek sains data yang komprehensif, mulai dari perumusan masalah, pengumpulan dan pembersihan data, analisis eksploratori, pemodelan statistik atau machine learning, hingga interpretasi hasil dan penyajian visual. Tujuan utama mata kuliah ini adalah mengembangkan kemampuan mahasiswa dalam menyelesaikan masalah nyata menggunakan pendekatan sains data, serta melatih keterampilan komunikasi teknis dan kolaborasi tim.",Menerapkan metodologi sains data dalam menyelesaikan masalah nyata dengan pendekatan yang inovatif dan adaptif (C3) | Menganalisis kebutuhan pengguna dan data untuk merancang solusi sains data yang tepat (C4) | Mengevaluasi kualitas model dan hasil analisis data berdasarkan kriteria performa dan etika (C5) | Menciptakan solusi komprehensif berbasis sains data melalui integrasi teknik dan tools yang relevan (C6) | Menerapkan prinsip kolaborasi dan manajemen tim dalam pelaksanaan proyek sains data (C3) | Menganalisis kompleksitas masalah computing dan mengidentifikasi pendekatan solusi interdisiplin (C4) | Mengevaluasi dampak dan keberlanjutan solusi sains data dari aspek teknis dan humaniora (C5) | Menciptakan dokumentasi dan presentasi yang efektif untuk mengkomunikasikan hasil proyek (C6) | Menerapkan beberapa pengatahuan dalam bidang Sains Data serta mengelaborasikannya untuk memecahkan suatu masalah secara prosedural,Yuni Rosita Dewi,Yuliani Puji Astuti,16,Pengantar proyek sains data (capstone project) Date 4 September 2025,4 September 2025,Pembagian kelompok proyek sains data (capstone project) Date 11 September 2025,11 September 2025,Penentuan permasalahan proyek sains data beserta matakuliah terkait penyelesaian masalah dalam kelompok yang sudah dibentuk Date 18 September 2025,18 September 2025,Perencanaan Proyek Sains Data Date 25 September 2025,25 September 2025,Evaluasi Perencanaan Projek Sains Data Date 2 Oktober 2025,2 Oktober 2025,Pelaksanaan Proyek Sains Data Date 9 Oktober 2025,9 Oktober 2025,Pelaksanaan Proyek Sains Data Date 16 Oktober 2025,16 Oktober 2025,Penyusunan monitoring dan evaluasi proyek Date 23 Oktober 2025,23 Oktober 2025,Presentasi-2 Pelaksanaan Proyek Sains Data Date 30 Oktober 2025,30 Oktober 2025,Melanjutkan proyek dan persiapan penyusunan laporan Date 6 November 2025,6 November 2025,Melanjutkan proyek dan persiapan penyusunan laporan Date 13 November 2025,13 November 2025,Penyusunan Laporan Proyek Sains Data Date 20 November 2025,20 November 2025,Evaluasi Penyusunan Laporan Projek Sains Data Date 27 November 2025,27 November 2025,Melanjutkan laporan akhir dengan mempertimbangkan evaluasi dampak dan keberlanjutan solusi sains data dari dosen pengampu proyek Date 4 Desember 2025,4 Desember 2025,Melanjutkan laporan akhir dengan mempertimbangkan evaluasi dampak dan keberlanjutan solusi sains data dari dosen pengampu proyek Date 11 Desember 2025,11 Desember 2025,Ujian Akhir Semester Date 18 Desember 2025,18 Desember 2025
https://sindig.unesa.ac.id/course/3/3143/proyek-sains-data,Proyek Sains Data,2022B,S1 Sains Data,7,2,"Mata kuliah Proyek Sains Data merupakan mata kuliah inti yang dirancang untuk memberikan pengalaman langsung dalam menerapkan beberapa pengetahuan dan keterampilan sains data yang telah dipelajari sebelumnya. Mahasiswa akan bekerja dalam kelompok untuk menyelesaikan proyek sains data yang komprehensif, mulai dari perumusan masalah, pengumpulan dan pembersihan data, analisis eksploratori, pemodelan statistik atau machine learning, hingga interpretasi hasil dan penyajian visual. Tujuan utama mata kuliah ini adalah mengembangkan kemampuan mahasiswa dalam menyelesaikan masalah nyata menggunakan pendekatan sains data, serta melatih keterampilan komunikasi teknis dan kolaborasi tim.",Menerapkan metodologi sains data dalam menyelesaikan masalah nyata dengan pendekatan yang inovatif dan adaptif (C3) | Menganalisis kebutuhan pengguna dan data untuk merancang solusi sains data yang tepat (C4) | Mengevaluasi kualitas model dan hasil analisis data berdasarkan kriteria performa dan etika (C5) | Menciptakan solusi komprehensif berbasis sains data melalui integrasi teknik dan tools yang relevan (C6) | Menerapkan prinsip kolaborasi dan manajemen tim dalam pelaksanaan proyek sains data (C3) | Menganalisis kompleksitas masalah computing dan mengidentifikasi pendekatan solusi interdisiplin (C4) | Mengevaluasi dampak dan keberlanjutan solusi sains data dari aspek teknis dan humaniora (C5) | Menciptakan dokumentasi dan presentasi yang efektif untuk mengkomunikasikan hasil proyek (C6) | Menerapkan beberapa pengatahuan dalam bidang Sains Data serta mengelaborasikannya untuk memecahkan suatu masalah secara prosedural,Ike Fitriyaningsih,Atik Wintarti,16,Pengantar proyek sains data (capstone project) Date 4 September 2025,4 September 2025,Pembagian kelompok proyek sains data (capstone project) Date 11 September 2025,11 September 2025,Penentuan permasalahan proyek sains data beserta matakuliah terkait penyelesaian masalah dalam kelompok yang sudah dibentuk Date 18 September 2025,18 September 2025,Perencanaan Proyek Sains Data Date 25 September 2025,25 September 2025,Evaluasi Perencanaan Projek Sains Data Date 2 Oktober 2025,2 Oktober 2025,Pelaksanaan Proyek Sains Data Date 9 Oktober 2025,9 Oktober 2025,Pelaksanaan Proyek Sains Data Date 16 Oktober 2025,16 Oktober 2025,Penyusunan monitoring dan evaluasi proyek Date 23 Oktober 2025,23 Oktober 2025,Presentasi-2 Pelaksanaan Proyek Sains Data Date 30 Oktober 2025,30 Oktober 2025,Melanjutkan proyek dan persiapan penyusunan laporan Date 6 November 2025,6 November 2025,Melanjutkan proyek dan persiapan penyusunan laporan Date 13 November 2025,13 November 2025,Penyusunan Laporan Proyek Sains Data Date 20 November 2025,20 November 2025,Evaluasi Penyusunan Laporan Projek Sains Data Date 27 November 2025,27 November 2025,Melanjutkan laporan akhir dengan mempertimbangkan evaluasi dampak dan keberlanjutan solusi sains data dari dosen pengampu proyek Date 4 Desember 2025,4 Desember 2025,Melanjutkan laporan akhir dengan mempertimbangkan evaluasi dampak dan keberlanjutan solusi sains data dari dosen pengampu proyek Date 11 Desember 2025,11 Desember 2025,Ujian Akhir Semester Date 18 Desember 2025,18 Desember 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025G,S1 Sains Data,1,1,"Mata kuliah ini mengkaji tentang konsep fungsi, konsep limit, kekontinuan, differensial, integral dan penerapannya serta konsep bilangan kompleks melalui pembelajaran aktif dengan kombinasi metode diskusi, tanya jawab, dan penugasan untuk menyelesaikan masalah yang berkaitan dengan sains data","Mampu mendemonstrasikan pengetahuan dan wawasan terkait fungsi, limit, diferensial, integral, dan bilangan kompleks yang berkaitan dengan sains data | Mampu merancang penyelesaian masalah terkait fungsi, limit, diferensial, integral, dan bilangan kompleks menggunakan berbagai metode | Mampu menyelesaikan permasalahan terkait fungsi, limit, diferensial, integral, dan bilangan kompleks secara mandiri dan penuh tanggung jawab",Mukhtamilatus Sa'Diyah,,16,"Fungsi, daerah asal, daerah hasil, menggambar grafik fungsi. Date 28 Agustus 2025",28 Agustus 2025,Limit dan kekontinuan fungsi Date 4 September 2025,4 September 2025,Limit dan kekontinuan fungsi Date 11 September 2025,11 September 2025,Turunan fungsi aljabar dan fungsi-fungsi transenden. Date 25 September 2025,25 September 2025,Turunan fungsi aljabar dan fungsi-fungsi transenden. Date 2 Oktober 2025,2 Oktober 2025,Masalah yang berkaitan dengan turunan Date 9 Oktober 2025,9 Oktober 2025,Masalah yang berkaitan dengan turunan Date 16 Oktober 2025,16 Oktober 2025,Ujian Tengah Semester Date 23 Oktober 2025,23 Oktober 2025,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 30 Oktober 2025,30 Oktober 2025,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 6 November 2025,6 November 2025,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 13 November 2025,13 November 2025,Aplikasi dari integral Date 20 November 2025,20 November 2025,Aplikasi dari integral Date 27 November 2025,27 November 2025,Bilangan Kompleks dan sifatnya Date 4 Desember 2025,4 Desember 2025,Bilangan Kompleks dan sifatnya Date 11 Desember 2025,11 Desember 2025,Ujian Akhir Semester Date 18 Desember 2025,18 Desember 2025
https://sindig.unesa.ac.id/course/3/3244/matematika-dasar,Matematika Dasar,2025F,S1 Sains Data,1,1,"Mata kuliah ini mengkaji tentang konsep fungsi, konsep limit, kekontinuan, differensial, integral dan penerapannya serta konsep bilangan kompleks melalui pembelajaran aktif dengan kombinasi metode diskusi, tanya jawab, dan penugasan untuk menyelesaikan masalah yang berkaitan dengan sains data","Mampu mendemonstrasikan pengetahuan dan wawasan terkait fungsi, limit, diferensial, integral, dan bilangan kompleks yang berkaitan dengan sains data | Mampu merancang penyelesaian masalah terkait fungsi, limit, diferensial, integral, dan bilangan kompleks menggunakan berbagai metode | Mampu menyelesaikan permasalahan terkait fungsi, limit, diferensial, integral, dan bilangan kompleks secara mandiri dan penuh tanggung jawab",Sugi Hartono,,16,"Fungsi, daerah asal, daerah hasil, menggambar grafik fungsi. Date 29 Agustus 2025",29 Agustus 2025,Limit dan kekontinuan fungsi Date 5 September 2025,5 September 2025,Limit dan kekontinuan fungsi Date 12 September 2025,12 September 2025,Turunan fungsi aljabar dan fungsi-fungsi transenden. Date 26 September 2025,26 September 2025,Turunan fungsi aljabar dan fungsi-fungsi transenden. Date 3 Oktober 2025,3 Oktober 2025,Masalah yang berkaitan dengan turunan Date 10 Oktober 2025,10 Oktober 2025,Masalah yang berkaitan dengan turunan Date 17 Oktober 2025,17 Oktober 2025,Ujian Tengah Semester Date 24 Oktober 2025,24 Oktober 2025,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 31 Oktober 2025,31 Oktober 2025,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 7 November 2025,7 November 2025,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 14 November 2025,14 November 2025,Aplikasi dari integral Date 21 November 2025,21 November 2025,Aplikasi dari integral Date 28 November 2025,28 November 2025,Bilangan Kompleks dan sifatnya Date 5 Desember 2025,5 Desember 2025,Bilangan Kompleks dan sifatnya Date 12 Desember 2025,12 Desember 2025,Ujian Akhir Semester Date 19 Desember 2025,19 Desember 2025
https://sindig.unesa.ac.id/course/3/3059/tata-tulis-ilmiah,Tata Tulis Ilmiah,2022A,S1 Sains Data,5,1,"Matakuliah ini mengkaji berbagai konsep dan teori yang berkaitan dengan teknik penulisan karya ilmiah, serta berlatih menulis karya ilmiah. Konsep/teori yang akan dikaji meliputi hakikat dan karakteristik karya ilmiah, persiapan menulis karya ilmiah, pemanfaatan pustaka dalam menulis karya ilmiah, komponen-komponen karya ilmiah, kiat-kiat dalam menulis karya ilmiah, review, finalisasi dan sosialisasi karya ilmiah melalui pembelajaran aktif berbasis tugas dengan disajikan dalam bentuk teori.",Mahasiswa dapat menjelaskan konsep dasar dan mengidentifikasi komponen utama dalam penulisan ilmiah | Mahasiswa dapat menerapkan kaidah bahasa dan gaya selingkung penulisan ilmiah. | Mahasiswa dapat menyusun karya tulis ilmiah sederhana sesuai kaidah akademik.,Ulfa Siti Nuraini,,16,"Definisi, urgensi, dan jenis karya ilmiah Date 2 September 2025",2 September 2025,"Sistematika: judul, abstrak, pendahuluan Date 9 September 2025",9 September 2025,Teknik mencari literatur dan menyusun kajian pada tinjauan pustaka Date 16 September 2025,16 September 2025,Jenis metode penelitian dan menuliskan tahapan penelitian Date 23 September 2025,23 September 2025,"Proses menyajikan, menganalisis, dan menginterpretasi hasil Date 30 September 2025",30 September 2025,"Proses menyajikan, menganalisis, dan menginterpretasi hasil Date 7 Oktober 2025",7 Oktober 2025,Menyusun kesimpulan dan menuliskan saran untuk penelitian selanjutnya Date 14 Oktober 2025,14 Oktober 2025,Date 21 Oktober 2025,21 Oktober 2025,Date 28 Oktober 2025,28 Oktober 2025,Date 4 November 2025,4 November 2025,Date 11 November 2025,11 November 2025,Date 18 November 2025,18 November 2025,Date 25 November 2025,25 November 2025,Date 2 Desember 2025,2 Desember 2025,Date 9 Desember 2025,9 Desember 2025,Date 16 Desember 2025,16 Desember 2025
https://sindig.unesa.ac.id/course/3/3001/aljabar-matriks,Aljabar Matriks,2025A,S1 Sains Data,1,1,Mata kuliah ini merupakan mata kuliah case study yang mempelajari tentang  konsep matriks serta aplikasinya yang berkaitan dengan pengolahan data. Penggunaan aplikasi komputer yang terkait juga dikenalkan dalam mata kuliah ini.,Bertanggung jawab dalam setiap penyelesaian tugas yang diberikan | Mampu menggunakan perangkat lunak untuk menyelesaikan permasalahan tentang matriks | Mampu merancang penyelesaian masalah dalam pengolahan data menggunakan metode-metode pada matriks | Mampu mendemonstrasikan pengetahuan dan wawasan tentang matriks yang berkaitan dengan sains data,Ulfa Siti Nuraini,,16,Konsep dasar matriks (KNO-1) Date 27 Agustus 2025,27 Agustus 2025,Invers dan determinan matriks (KNO-1) Date 3 September 2025,3 September 2025,Sistem persamaan linier (KNO-1) Date 10 September 2025,10 September 2025,Sistem persamaan linier (KNO-1) Date 17 September 2025,17 September 2025,SPL untuk menyelesaikan masalah nyata (SKI- 2) Date 24 September 2025,24 September 2025,"Konsep vektor dalam ruang-2, ruang-3, ruang-n dan operasinya (KNO-1) Date 8 Oktober 2025",8 Oktober 2025,Ruang vektor real dan sub-ruangnya (KNO-1) Date 15 Oktober 2025,15 Oktober 2025,Materi yang telah disampaikan sejak pertemuan ke-1 sampai dengan ke-7. Date 22 Oktober 2025,22 Oktober 2025,Konsep basis dan dimensi (KNO-1) Date 29 Oktober 2025,29 Oktober 2025,Konsep basis dan dimensi (KNO-1) Date 5 November 2025,5 November 2025,Konsep Ruang Hasil Kali Dalam dan proses Gram-Schmidt (KNO-1) Date 12 November 2025,12 November 2025,Konsep Ruang Hasil Kali Dalam dan proses Gram-Schmidt (KNO-1) Date 19 November 2025,19 November 2025,Transformasi Linier   (KNO-1) Date 26 November 2025,26 November 2025,Nilai Eigen dan Vektor Eigen (KNO-1) Date 3 Desember 2025,3 Desember 2025,"Program komputer untuk menyelesaikan permasalahan yang berkaitan dengan matriks (SOC-2, SKI-1-2 dan COM-2) Date 10 Desember 2025",10 Desember 2025,Materi yang telah disampaikan sejak pertemuan ke-9 sampai dengan ke-15. Date 17 Desember 2025,17 Desember 2025
https://sindig.unesa.ac.id/course/3/3243/matematika-dasar,Matematika Dasar,2025E,S1 Sains Data,1,1,"Mata kuliah ini mengkaji tentang konsep fungsi, konsep limit, kekontinuan, differensial, integral dan penerapannya serta konsep bilangan kompleks melalui pembelajaran aktif dengan kombinasi metode diskusi, tanya jawab, dan penugasan untuk menyelesaikan masalah yang berkaitan dengan sains data","Mampu mendemonstrasikan pengetahuan dan wawasan terkait fungsi, limit, diferensial, integral, dan bilangan kompleks yang berkaitan dengan sains data | Mampu merancang penyelesaian masalah terkait fungsi, limit, diferensial, integral, dan bilangan kompleks menggunakan berbagai metode | Mampu menyelesaikan permasalahan terkait fungsi, limit, diferensial, integral, dan bilangan kompleks secara mandiri dan penuh tanggung jawab",Sugi Hartono,,16,"Fungsi, daerah asal, daerah hasil, menggambar grafik fungsi. Date 29 Agustus 2025",29 Agustus 2025,Limit dan kekontinuan fungsi Date 5 September 2025,5 September 2025,Limit dan kekontinuan fungsi Date 12 September 2025,12 September 2025,Turunan fungsi aljabar dan fungsi-fungsi transenden. Date 26 September 2025,26 September 2025,Turunan fungsi aljabar dan fungsi-fungsi transenden. Date 3 Oktober 2025,3 Oktober 2025,Masalah yang berkaitan dengan turunan Date 10 Oktober 2025,10 Oktober 2025,Masalah yang berkaitan dengan turunan Date 17 Oktober 2025,17 Oktober 2025,Ujian Tengah Semester Date 24 Oktober 2025,24 Oktober 2025,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 31 Oktober 2025,31 Oktober 2025,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 7 November 2025,7 November 2025,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 14 November 2025,14 November 2025,Aplikasi dari integral Date 21 November 2025,21 November 2025,Aplikasi dari integral Date 28 November 2025,28 November 2025,Bilangan Kompleks dan sifatnya Date 5 Desember 2025,5 Desember 2025,Bilangan Kompleks dan sifatnya Date 12 Desember 2025,12 Desember 2025,Ujian Akhir Semester Date 19 Desember 2025,19 Desember 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025D,S1 Sains Data,1,1,"Mata kuliah ini mengkaji tentang konsep fungsi, konsep limit, kekontinuan, differensial, integral dan penerapannya serta konsep bilangan kompleks melalui pembelajaran aktif dengan kombinasi metode diskusi, tanya jawab, dan penugasan untuk menyelesaikan masalah yang berkaitan dengan sains data","Mampu mendemonstrasikan pengetahuan dan wawasan terkait fungsi, limit, diferensial, integral, dan bilangan kompleks yang berkaitan dengan sains data | Mampu merancang penyelesaian masalah terkait fungsi, limit, diferensial, integral, dan bilangan kompleks menggunakan berbagai metode | Mampu menyelesaikan permasalahan terkait fungsi, limit, diferensial, integral, dan bilangan kompleks secara mandiri dan penuh tanggung jawab",Mukhtamilatus Sa'Diyah,,16,"Fungsi, daerah asal, daerah hasil, menggambar grafik fungsi. Date 28 Agustus 2025",28 Agustus 2025,Limit dan kekontinuan fungsi Date 4 September 2025,4 September 2025,Limit dan kekontinuan fungsi Date 11 September 2025,11 September 2025,Turunan fungsi aljabar dan fungsi-fungsi transenden. Date 25 September 2025,25 September 2025,Turunan fungsi aljabar dan fungsi-fungsi transenden. Date 2 Oktober 2025,2 Oktober 2025,Masalah yang berkaitan dengan turunan Date 9 Oktober 2025,9 Oktober 2025,Masalah yang berkaitan dengan turunan Date 16 Oktober 2025,16 Oktober 2025,Ujian Tengah Semester Date 23 Oktober 2025,23 Oktober 2025,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 30 Oktober 2025,30 Oktober 2025,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 6 November 2025,6 November 2025,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 13 November 2025,13 November 2025,Aplikasi dari integral Date 20 November 2025,20 November 2025,Aplikasi dari integral Date 27 November 2025,27 November 2025,Bilangan Kompleks dan sifatnya Date 4 Desember 2025,4 Desember 2025,Bilangan Kompleks dan sifatnya Date 11 Desember 2025,11 Desember 2025,Ujian Akhir Semester Date 18 Desember 2025,18 Desember 2025
